code	assign1	assign2	assign3	assign4	assign5	assign6	assign7	assign8	assign9	section	explore	weekly0%	midterm	final	total	grade
5338	5	13	0	16	0	14	17	7	15	20	0	60.80%	89	87	76.92	2.3
5367	7	16	20	18	18	18	19	9	19	20	3	94.90%	98	78	88.75	3.3
5460	8	14	19	17	12	16	0	8	16	20	0	73.90%	79	62	70.15	1.7
5463	10	16	20	20	19	17	18	9	20	20	0.33	96.20%	99	97	97.08	4
5518	8	15	18	14	14	18	17	3	12	20	0	79.00%	70	76	75.99	2.2
5523	9	16	14	19	19	19	18	9	18	20	1	92.00%	90	96	93.22	3.7
5632	9	15	17	19	19	19	18	8	19	20	0	92.60%	85	84	87.65	3.2
5844	9	16	19	17	15	18	16	8	15	20	0	86.90%	88	81	84.77	3
5872	8	15	18	15	0	0	0	0	0	20	0	43.20%	58	0	28.87	0
5901	10	16	20	19	18	20	20	9	19	20	0	97.20%	100	100	98.86	4
6096	9	16	19	17	17	12	1	8	12	15	0	71.60%	69	51	62.84	1.1
6232	10	16	20	18	19	19	17	9	15	20	3	94.30%	96	88	92.13	3.6
6300	10	15	20	16	17	18	17	9	13	20	0	88.10%	89	78	84.23	3
6324	9	16	19	18	16	18	19	10	19	20	0	93.20%	91	85	89.47	3.4
6356	10	16	20	18	20	18	20	10	13	20	0.33	93.90%	89	92	92.18	3.6
6358	8	15	20	16	17	17	19	8	13	20	0.33	87.10%	92	92	90.05	3.5
6363	9	15	20	17	18	20	19	10	0	20	0	84.10%	86	86	85.24	3
6391	10	15	18	15	17	19	19	9	14	20	0.33	88.80%	86	72	81.53	2.7
6709	10	16	20	16	16	16	8	7	15	20	0	81.80%	83	79	80.93	2.7
6865	10	16	16	19	18	19	19	8	18	20	0	92.60%	85	71	82.45	2.8
6995	8	15	20	19	18	16	19	6	19	20	0	90.90%	81	76	82.96	2.8
7124	9	16	19	20	17	17	12	8	16	20	0	87.50%	86	63	77.4	2.4
7293	9	15	18	19	18	17	19	8	13	20	2	89.80%	72	80	82.31	2.8
7321	8	15	18	0	0	12	17	8	17	20	1	65.90%	72	41	57.16	0.6
7354	9	16	20	18	19	18	18	10	19	20	1	95.50%	100	79	89.78	3.4
7408	10	15	20	18	18	18	19	10	18	20	0.67	94.70%	90	90	91.88	3.6
7440	6	15	14	17	19	15	11	6	0	20	0	69.90%	77	40	59.35	0.8
7610	9	16	20	19	20	19	19	10	20	20	0	97.70%	101	96	97.69	4
7672	10	16	16	18	0	17	17	0	16	20	0	73.90%	78	48	64.35	1.2
7794	9	16	20	18	17	17	18	10	15	20	0	90.90%	98	81	88.36	3.3
7921	9	16	20	18	18	20	19	10	14	20	2.33	94.50%	77	83	86.4	3.1
7926	10	16	20	20	17	17	19	9	17	20	0	93.80%	97	71	85.3	3
7974	10	15	14	17	19	17	16	8	18	20	0	87.50%	81	73	80.4	2.6
